profile_id,profile_name,profile_description,finding_id,finding_name,pack_id,source_id,evaluation_mode,severity,status,maturity,mapping_basis,matched_profile_control_refs,direct_profile_control_refs,catalog_mapped_profile_control_refs,mapping_paths,finding_control_refs
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy PA-13; CJIS Security Policy PA-5,,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy PA-13; CJIS Security Policy PA-5,catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.13.6; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-13; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-5,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,admin-inactive-keys,Admin user/service account with active access keys that are inactive for over 90 days,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy 5.6.2.2; CJIS Security Policy PA-13; CJIS Security Policy PA-5; CJIS Security Policy PA-6,,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy 5.6.2.2; CJIS Security Policy PA-13; CJIS Security Policy PA-5; CJIS Security Policy PA-6,catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.13.6; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-13; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 IA-5 -> CJIS Security Policy 5.6.2.2; catalog: NIST 800-53 r5 IA-5 -> CJIS Security Policy PA-6,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1; SOC 2 CC6.1; SOC 2 CC6.2
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,admin-keys-unrotated,Admin user/service account with active access keys were used in the past 90 days but not rotated in the past year,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy 5.6.2.2; CJIS Security Policy PA-13; CJIS Security Policy PA-5; CJIS Security Policy PA-6,,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy 5.6.2.2; CJIS Security Policy PA-13; CJIS Security Policy PA-5; CJIS Security Policy PA-6,catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.13.6; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-13; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 IA-5 -> CJIS Security Policy 5.6.2.2; catalog: NIST 800-53 r5 IA-5 -> CJIS Security Policy PA-6,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1; SOC 2 CC6.1; SOC 2 CC6.2
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,admin-keys-year-unrotated,Admin user/service account with active access keys unrotated in the past year,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy 5.6.2.2; CJIS Security Policy PA-13; CJIS Security Policy PA-5; CJIS Security Policy PA-6,,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy 5.6.2.2; CJIS Security Policy PA-13; CJIS Security Policy PA-5; CJIS Security Policy PA-6,catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.13.6; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-13; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 IA-5 -> CJIS Security Policy 5.6.2.2; catalog: NIST 800-53 r5 IA-5 -> CJIS Security Policy PA-6,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1; SOC 2 CC6.1; SOC 2 CC6.2
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,ai-agent-lambda-data-access,AI Agent that is using a lambda function with access to sensitive data,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy PA-13; CJIS Security Policy PA-5,,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy PA-13; CJIS Security Policy PA-5,catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.13.6; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-13; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-5,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,ai-bias-testing,AI Model Bias Testing Performed,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.12.1; CJIS Security Policy 5.2.1; CJIS Security Policy PA-12; CJIS Security Policy PA-2,,CJIS Security Policy 5.12.1; CJIS Security Policy 5.2.1; CJIS Security Policy PA-12; CJIS Security Policy PA-2,catalog: SOC 2 CC1.4 -> CJIS Security Policy 5.12.1; catalog: SOC 2 CC1.4 -> CJIS Security Policy 5.2.1; catalog: SOC 2 CC1.4 -> CJIS Security Policy PA-12; catalog: SOC 2 CC1.4 -> CJIS Security Policy PA-2,ISO 42001 6.1; ISO 42001 9.2; SOC 2 CC1.4
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,ai-explainability,AI Model Explainability Documentation,policy,policy,event,medium,active,candidate,catalog_mapping,CJIS Security Policy 5.12.1; CJIS Security Policy 5.2.1; CJIS Security Policy PA-12; CJIS Security Policy PA-2,,CJIS Security Policy 5.12.1; CJIS Security Policy 5.2.1; CJIS Security Policy PA-12; CJIS Security Policy PA-2,catalog: SOC 2 CC1.4 -> CJIS Security Policy 5.12.1; catalog: SOC 2 CC1.4 -> CJIS Security Policy 5.2.1; catalog: SOC 2 CC1.4 -> CJIS Security Policy PA-12; catalog: SOC 2 CC1.4 -> CJIS Security Policy PA-2,EU AI Act Art.13; ISO 42001 9.4; SOC 2 CC1.4
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,ai-model-excessive-agency,AI Model with excessive agency,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy PA-13; CJIS Security Policy PA-5,,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy PA-13; CJIS Security Policy PA-5,catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.13.6; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-13; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-5,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,ai-model-third-party-access,3rd party access to AI model in bucket,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy PA-13; CJIS Security Policy PA-5,,CJIS Security Policy 5.13.6; CJIS Security Policy 5.5.1; CJIS Security Policy PA-13; CJIS Security Policy PA-5,catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-2 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.13.6; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-13; catalog: NIST 800-53 r5 AC-6 -> CJIS Security Policy PA-5,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,api-admin-function-public,API Admin Function Public,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.5.1; CJIS Security Policy PA-10; CJIS Security Policy PA-5; CJIS Security Policy PA-9,,CJIS Security Policy 5.5.1; CJIS Security Policy PA-10; CJIS Security Policy PA-5; CJIS Security Policy PA-9,catalog: NIST 800-53 r5 AC-3 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-3 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 SC-7 -> CJIS Security Policy PA-10; catalog: SOC 2 CC6.6 -> CJIS Security Policy PA-9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,api-cors-wildcard-credentials,API CORS Wildcard Credentials,policy,policy,event,medium,active,candidate,catalog_mapping,CJIS Security Policy 5.5.1; CJIS Security Policy PA-10; CJIS Security Policy PA-5; CJIS Security Policy PA-9,,CJIS Security Policy 5.5.1; CJIS Security Policy PA-10; CJIS Security Policy PA-5; CJIS Security Policy PA-9,catalog: NIST 800-53 r5 AC-3 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-3 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 SC-7 -> CJIS Security Policy PA-10; catalog: SOC 2 CC6.6 -> CJIS Security Policy PA-9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,api-deprecated-version-public,API Deprecated Version Public,policy,policy,event,high,active,candidate,catalog_mapping,CJIS Security Policy 5.5.1; CJIS Security Policy PA-10; CJIS Security Policy PA-5; CJIS Security Policy PA-9,,CJIS Security Policy 5.5.1; CJIS Security Policy PA-10; CJIS Security Policy PA-5; CJIS Security Policy PA-9,catalog: NIST 800-53 r5 AC-3 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-3 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 SC-7 -> CJIS Security Policy PA-10; catalog: SOC 2 CC6.6 -> CJIS Security Policy PA-9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1
cjis-security-policy,CJIS Security Policy,FBI CJIS Security Policy area coverage for criminal justice information protection reviews.,api-endpoint-no-authentication,API Endpoint No Authentication,policy,policy,event,medium,active,candidate,catalog_mapping,CJIS Security Policy 5.5.1; CJIS Security Policy PA-10; CJIS Security Policy PA-5; CJIS Security Policy PA-9,,CJIS Security Policy 5.5.1; CJIS Security Policy PA-10; CJIS Security Policy PA-5; CJIS Security Policy PA-9,catalog: NIST 800-53 r5 AC-3 -> CJIS Security Policy 5.5.1; catalog: NIST 800-53 r5 AC-3 -> CJIS Security Policy PA-5; catalog: NIST 800-53 r5 SC-7 -> CJIS Security Policy PA-10; catalog: SOC 2 CC6.6 -> CJIS Security Policy PA-9,ISO 27001:2022 A.8.20; ISO 27001:2022 A.8.21; ISO 27001:2022 A.8.28; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-4; NIST 800-53 r5 SC-7; SOC 2 CC6.1; SOC 2 CC6.6; SOC 2 CC7.1
